Year,Area,Element Code,Element,Item Code,Item,Year Code,Unit,Value
1962,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1962,kilotonnes,50.2568
1963,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1963,kilotonnes,56.3118
1964,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1964,kilotonnes,65.1429
1965,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1965,kilotonnes,79.6881
1966,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1966,kilotonnes,105.7037
1967,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1967,kilotonnes,103.1941
1968,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1968,kilotonnes,115.4706
1969,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1969,kilotonnes,132.6416
1970,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1970,kilotonnes,152.9887
1971,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1971,kilotonnes,162.7964
1972,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1972,kilotonnes,183.6918
1973,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1973,kilotonnes,201.6715
1974,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1974,kilotonnes,181.678
1975,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1975,kilotonnes,234.5705
1976,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1976,kilotonnes,229.8415
1977,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1977,kilotonnes,298.2967
1978,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1978,kilotonnes,362.7159
1979,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1979,kilotonnes,396.579
1980,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1980,kilotonnes,436.9749
1981,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1981,kilotonnes,439.7964
1982,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1982,kilotonnes,465.7394
1983,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1983,kilotonnes,520.4449
1984,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1984,kilotonnes,570.685
1985,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1985,kilotonnes,557.3649
1986,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1986,kilotonnes,581.4901
1987,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1987,kilotonnes,639.7732
1988,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1988,kilotonnes,713.0072
1989,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1989,kilotonnes,731.0455
1990,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1990,kilotonnes,756.2054
1991,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1991,kilotonnes,774.1956
1992,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1992,kilotonnes,821.6626
1993,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1993,kilotonnes,778.3124
1994,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1994,kilotonnes,820.6136
1995,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1995,kilotonnes,934.087
1996,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1996,kilotonnes,989.4225
1997,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1997,kilotonnes,960.2947
1998,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1998,kilotonnes,987.4524
1999,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,1999,kilotonnes,1024.9614
2000,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2000,kilotonnes,967.5403
2001,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2001,kilotonnes,974.6792
2002,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2002,kilotonnes,1026.4883
2003,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2003,kilotonnes,1049.3952
2004,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2004,kilotonnes,1096.6703
2005,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2005,kilotonnes,1129.2395
2006,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2006,kilotonnes,1169.4434
2007,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2007,kilotonnes,1197.9396
2008,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2008,kilotonnes,1211.857
2009,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2009,kilotonnes,1272.3059
2010,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2010,kilotonnes,1291.9515
2011,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2011,kilotonnes,1315.6938
2012,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2012,kilotonnes,1314.0204
2013,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2013,kilotonnes,1331.668
2014,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2014,kilotonnes,1340.801
2015,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2015,kilotonnes,1340.6515
2016,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2016,kilotonnes,1333.7375
2017,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2017,kilotonnes,1333.8424
2018,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2018,kilotonnes,1312.8533
2019,Asia,7230,Emissions (N2O),5061,Synthetic Fertilizers,2019,kilotonnes,1326.811
1961,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1961,kilotonnes,306.4455
1961,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1961,kilotonnes,7.9449
1962,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1962,kilotonnes,307.5017
1962,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1962,kilotonnes,7.9723
1963,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1963,kilotonnes,312.4578
1963,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1963,kilotonnes,8.1008
1964,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1964,kilotonnes,324.7525
1964,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1964,kilotonnes,8.4195
1965,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1965,kilotonnes,324.0673
1965,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1965,kilotonnes,8.4017
1966,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1966,kilotonnes,332.6535
1966,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1966,kilotonnes,8.6244
1967,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1967,kilotonnes,330.653
1967,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1967,kilotonnes,8.5725
1968,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1968,kilotonnes,336.9745
1968,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1968,kilotonnes,8.7364
1969,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1969,kilotonnes,341.3255
1969,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1969,kilotonnes,8.8492
1970,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1970,kilotonnes,346.5663
1970,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1970,kilotonnes,8.9851
1971,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1971,kilotonnes,352.1963
1971,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1971,kilotonnes,9.131
1972,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1972,kilotonnes,350.7834
1972,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1972,kilotonnes,9.0944
1973,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1973,kilotonnes,360.7258
1973,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1973,kilotonnes,9.3522
1974,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1974,kilotonnes,363.6529
1974,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1974,kilotonnes,9.428
1975,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1975,kilotonnes,373.8701
1975,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1975,kilotonnes,9.6929
1976,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1976,kilotonnes,376.9994
1976,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1976,kilotonnes,9.7741
1977,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1977,kilotonnes,381.4971
1977,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1977,kilotonnes,9.8907
1978,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1978,kilotonnes,388.0855
1978,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1978,kilotonnes,10.0615
1979,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1979,kilotonnes,384.307
1979,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1979,kilotonnes,9.9635
1980,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1980,kilotonnes,389.0681
1980,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1980,kilotonnes,10.087
1981,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1981,kilotonnes,388.0315
1981,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1981,kilotonnes,10.0601
1982,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1982,kilotonnes,377.733
1982,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1982,kilotonnes,9.7931
1983,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1983,kilotonnes,390.466
1983,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1983,kilotonnes,10.1232
1984,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1984,kilotonnes,390.8846
1984,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1984,kilotonnes,10.134
1985,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1985,kilotonnes,389.1328
1985,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1985,kilotonnes,10.0886
1986,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1986,kilotonnes,393.9715
1986,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1986,kilotonnes,10.2141
1987,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1987,kilotonnes,388.2289
1987,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1987,kilotonnes,10.0652
